Tanker Type,Tile,"NW Coor (Long, Lat)","NE Coor (Long, Lat)","SE Coor (Long, Lat)","SW Coor (Long, Lat)",Capture Date,County,State
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77849223508416, 44.474629914322016)","(-95.77815899759189, 44.474629914322016)","(-95.77815899759189, 44.47444357157742)","(-95.77849223508416, 44.47444357157742)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77823413667349, 44.47475503285289)","(-95.77799388360353, 44.47475503285289)","(-95.77799388360353, 44.47462044135041)","(-95.77823413667349, 44.47462044135041)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77820440123584, 44.47492320525233)","(-95.77797998649118, 44.47492320525233)","(-95.77797998649118, 44.47480443280445)","(-95.77820440123584, 44.47480443280445)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77819573463374, 44.475058455316734)","(-95.77801002042777, 44.475058455316734)","(-95.77801002042777, 44.474960346955335)","(-95.77819573463374, 44.474960346955335)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77820316331308, 44.475214919764916)","(-95.77797121210482, 44.475214919764916)","(-95.77797121210482, 44.47509633079346)","(-95.77820316331308, 44.47509633079346)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77821059205279, 44.475371384207726)","(-95.77796382565944, 44.475371384207726)","(-95.77796382565944, 44.47525855748573)","(-95.77821059205279, 44.47525855748573)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77796115699475, 44.47536125213746)","(-95.77765180338172, 44.47536125213746)","(-95.77765180338172, 44.475201334305936)","(-95.77796115699475, 44.475201334305936)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77795091139595, 44.47514543906397)","(-95.77762623226221, 44.47514543906397)","(-95.77762623226221, 44.47498049268054)","(-95.77795091139595, 44.47498049268054)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.77796352793811, 44.47493447098313)","(-95.77763910607753, 44.47493447098313)","(-95.77763910607753, 44.47477491992854)","(-95.77796352793811, 44.47477491992854)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.79039751987949, 44.473383334295015)","(-95.79010972069086, 44.473383334295015)","(-95.79010972069086, 44.47320131697682)","(-95.79039751987949, 44.47320131697682)",20190808,Lyon,27
external_floating_roof_tank,m_4409534_ne_15_060_20190808,"(-95.79004311674286, 44.47338659855929)","(-95.78976259638543, 44.47338659855929)","(-95.78976259638543, 44.47319900083048)","(-95.79004311674286, 44.47319900083048)",20190808,Lyon,27
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.176883757909, 41.41419021993475)","(-88.17613547027568, 41.41419021993475)","(-88.17613547027568, 41.41370066622455)","(-88.176883757909, 41.41370066622455)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17686725227381, 41.416854764440394)","(-88.17644614126544, 41.416854764440394)","(-88.17644614126544, 41.4165942553683)","(-88.17686725227381, 41.4165942553683)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1840043333081, 41.41807859022697)","(-88.18364465035052, 41.41807859022697)","(-88.18364465035052, 41.41764453433866)","(-88.1840043333081, 41.41764453433866)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18410113532231, 41.41668866061349)","(-88.18354135704733, 41.41668866061349)","(-88.18354135704733, 41.41630530332553)","(-88.18410113532231, 41.41630530332553)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18338312866398, 41.416685239790965)","(-88.18288175966057, 41.416685239790965)","(-88.18288175966057, 41.416355322550004)","(-88.18338312866398, 41.416355322550004)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18429883816735, 41.4180863676432)","(-88.18401122979344, 41.4180863676432)","(-88.18401122979344, 41.4176677841434)","(-88.18429883816735, 41.4176677841434)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18395720060886, 41.419041060047505)","(-88.18339071485966, 41.419041060047505)","(-88.18339071485966, 41.41868479330607)","(-88.18395720060886, 41.41868479330607)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17880986275286, 41.41430561037485)","(-88.17769759317503, 41.41430561037485)","(-88.17769759317503, 41.41353876632344)","(-88.17880986275286, 41.41353876632344)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17875838511551, 41.41304690929922)","(-88.17765331558869, 41.41304690929922)","(-88.17765331558869, 41.41227999082266)","(-88.17875838511551, 41.41227999082266)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17750386150406, 41.41672394880563)","(-88.17724979693247, 41.41672394880563)","(-88.17724979693247, 41.41656982101851)","(-88.17750386150406, 41.41656982101851)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1775192460953, 41.41638331338113)","(-88.17722191923325, 41.41638331338113)","(-88.17722191923325, 41.4162188194969)","(-88.1775192460953, 41.4162188194969)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1769593552578, 41.41638904276696)","(-88.17668356396254, 41.41638904276696)","(-88.17668356396254, 41.41622432716327)","(-88.1769593552578, 41.41622432716327)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18361749242635, 41.41812580619076)","(-88.18287658176544, 41.41812580619076)","(-88.18287658176544, 41.41765243426947)","(-88.18361749242635, 41.41765243426947)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18282099928145, 41.41815021143861)","(-88.18207970201547, 41.41815021143861)","(-88.18207970201547, 41.417655220704674)","(-88.18282099928145, 41.417655220704674)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18203719603599, 41.418082605823884)","(-88.18147072901479, 41.418082605823884)","(-88.18147072901479, 41.41772632932133)","(-88.18203719603599, 41.41772632932133)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18145634440408, 41.41812099896716)","(-88.18084573392562, 41.41812099896716)","(-88.18084573392562, 41.41770572420302)","(-88.18145634440408, 41.41770572420302)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18342753809266, 41.41754948858191)","(-88.18287493435004, 41.41754948858191)","(-88.18287493435004, 41.41716605431127)","(-88.18342753809266, 41.41716605431127)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18245720651993, 41.41748920886006)","(-88.18206527213242, 41.41748920886006)","(-88.18206527213242, 41.41725544262467)","(-88.18245720651993, 41.41725544262467)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18207115185214, 41.41757964681925)","(-88.18147509490042, 41.41757964681925)","(-88.18147509490042, 41.41717503463727)","(-88.18207115185214, 41.41717503463727)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18144635394565, 41.41756985175537)","(-88.18084361218887, 41.41756985175537)","(-88.18084361218887, 41.417192326992094)","(-88.18144635394565, 41.417192326992094)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1816539883247, 41.41674624883733)","(-88.18094948736749, 41.41674624883733)","(-88.18094948736749, 41.41629951237762)","(-88.1816539883247, 41.41629951237762)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1828665011746, 41.41670136172722)","(-88.1822634654919, 41.41670136172722)","(-88.1822634654919, 41.41630763414023)","(-88.1828665011746, 41.41630763414023)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1822628539614, 41.416669735958)","(-88.18181232495364, 41.416669735958)","(-88.18181232495364, 41.41637171802467)","(-88.1822628539614, 41.41637171802467)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17554562325913, 41.41244206165776)","(-88.1750374408274, 41.41244206165776)","(-88.1750374408274, 41.41212839264805)","(-88.17554562325913, 41.41212839264805)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.1755604986225, 41.41286885852171)","(-88.17503776261071, 41.41286885852171)","(-88.17503776261071, 41.41254452942474)","(-88.1755604986225, 41.41254452942474)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17647225946261, 41.41684799564574)","(-88.17608005748741, 41.41684799564574)","(-88.17608005748741, 41.41659799841447)","(-88.17647225946261, 41.41659799841447)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.17642119357816, 41.41640535605329)","(-88.1761234793253, 41.41640535605329)","(-88.1761234793253, 41.41621924563303)","(-88.17642119357816, 41.41621924563303)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18470317833268, 41.42295157491643)","(-88.18452872653121, 41.42295157491643)","(-88.18452872653121, 41.42283447442495)","(-88.18470317833268, 41.42283447442495)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18590380663927, 41.42264196207681)","(-88.18576573887022, 41.42264196207681)","(-88.18576573887022, 41.42255151040727)","(-88.18590380663927, 41.42255151040727)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18469049857868, 41.42264905883305)","(-88.1845306015475, 41.42264905883305)","(-88.1845306015475, 41.42254261725875)","(-88.18469049857868, 41.42254261725875)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18338991365796, 41.41903608810253)","(-88.18288154406356, 41.41903608810253)","(-88.18288154406356, 41.41871705187191)","(-88.18338991365796, 41.41871705187191)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18288703586971, 41.41901964228821)","(-88.18240108604924, 41.41901964228821)","(-88.18240108604924, 41.41874901307761)","(-88.18288703586971, 41.41874901307761)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18244925370756, 41.41902954725339)","(-88.1819414766084, 41.41902954725339)","(-88.1819414766084, 41.41874292721751)","(-88.18244925370756, 41.41874292721751)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18196859715336, 41.41905069988103)","(-88.18143152091405, 41.41905069988103)","(-88.18143152091405, 41.41873195215765)","(-88.18196859715336, 41.41873195215765)",20190914,Will,17
external_floating_roof_tank,m_4108839_se_16_060_20190914,"(-88.18143739778672, 41.419056156342585)","(-88.18093631363313, 41.419056156342585)","(-88.18093631363313, 41.41874244107718)","(-88.18143739778672, 41.41874244107718)",20190914,Will,17
external_floating_roof_tank,m_3411760_sw_11_060_20180822,"(-117.60275644913266, 34.02937026939046)","(-117.60242962388735, 34.02937026939046)","(-117.60242962388735, 34.02910672009978)","(-117.60275644913266, 34.02910672009978)",20180822,San Bernardino,06
external_floating_roof_tank,m_3411760_sw_11_060_20180822,"(-117.60275170892793, 34.02961920971402)","(-117.60252282718176, 34.02961920971402)","(-117.60252282718176, 34.029420115462386)","(-117.60275170892793, 34.029420115462386)",20180822,San Bernardino,06
external_floating_roof_tank,m_3411760_sw_11_060_20180822,"(-117.60238141461717, 34.02964266914616)","(-117.60210023562271, 34.02964266914616)","(-117.60210023562271, 34.02940054034695)","(-117.60238141461717, 34.02940054034695)",20180822,San Bernardino,06
external_floating_roof_tank,m_3411760_sw_11_060_20180822,"(-117.6030377063717, 34.02962321878408)","(-117.60280882395617, 34.02962321878408)","(-117.60280882395617, 34.02942412506989)","(-117.6030377063717, 34.02942412506989)",20180822,San Bernardino,06
external_floating_roof_tank,m_3509737_ne_14_060_20190711,"(-97.43898579505756, 35.46802626843841)","(-97.43877760020423, 35.46802626843841)","(-97.43877760020423, 35.46785047473726)","(-97.43898579505756, 35.46785047473726)",20190711,Oklahoma,40
external_floating_roof_tank,m_3509737_ne_14_060_20190711,"(-97.43917572660071, 35.46812068479761)","(-97.4389802296982, 35.46812068479761)","(-97.4389802296982, 35.46797210260272)","(-97.43917572660071, 35.46797210260272)",20190711,Oklahoma,40
external_floating_roof_tank,m_3509737_ne_14_060_20190711,"(-97.43899567147527, 35.46819949649045)","(-97.43880017472999, 35.46819949649045)","(-97.43880017472999, 35.46805091400926)","(-97.43899567147527, 35.46805091400926)",20190711,Oklahoma,40
external_floating_roof_tank,m_3509737_ne_14_060_20190711,"(-97.43908518938947, 35.46835752660246)","(-97.43889640728061, 35.46835752660246)","(-97.43889640728061, 35.468203621745815)","(-97.43908518938947, 35.468203621745815)",20190711,Oklahoma,40
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37442651933387, 48.30483320544752)","(-102.37401480189058, 48.30483320544752)","(-102.37401480189058, 48.30465644122696)","(-102.37442651933387, 48.30465644122696)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37376036520422, 48.30472620934311)","(-102.37344901845512, 48.30472620934311)","(-102.37344901845512, 48.30464351372734)","(-102.37376036520422, 48.30464351372734)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37375643479943, 48.3046451395144)","(-102.3734314149669, 48.3046451395144)","(-102.3734314149669, 48.30451354341822)","(-102.37375643479943, 48.30451354341822)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37446770566642, 48.30466138887803)","(-102.37404513900981, 48.30466138887803)","(-102.37404513900981, 48.304538363615684)","(-102.37446770566642, 48.304538363615684)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37385530812614, 48.30524125207795)","(-102.37338723375869, 48.30524125207795)","(-102.37338723375869, 48.30490123793334)","(-102.37385530812614, 48.30490123793334)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.37300468524083, 48.30525960481357)","(-102.37252908774404, 48.30525960481357)","(-102.37252908774404, 48.30490861786438)","(-102.37300468524083, 48.30490861786438)",20190715,Mountrail,38
external_floating_roof_tank,m_4810246_sw_13_060_20190715,"(-102.3720913393011, 48.305238726543216)","(-102.37159875199313, 48.305238726543216)","(-102.37159875199313, 48.30490354327397)","(-102.3720913393011, 48.30490354327397)",20190715,Mountrail,38
external_floating_roof_tank,m_2909505_ne_15_060_20181204,"(-95.41786774808521, 29.946213699054425)","(-95.41755759567042, 29.946213699054425)","(-95.41755759567042, 29.94598124754206)","(-95.41786774808521, 29.94598124754206)",20181204,Harris,48
external_floating_roof_tank,m_4209761_se_14_060_20180709,"(-97.40264209909817, 42.0136454454944)","(-97.40252112167333, 42.0136454454944)","(-97.40252112167333, 42.01355730126488)","(-97.40264209909817, 42.01355730126488)",20180709,Madison,31
external_floating_roof_tank,m_3209716_sw_14_060_20181120,"(-97.10914591310626, 32.80547930794916)","(-97.10900122513023, 32.80547930794916)","(-97.10900122513023, 32.80535266502907)","(-97.10914591310626, 32.80535266502907)",20181120,Tarrant,48
external_floating_roof_tank,m_4711131_sw_12_060_20190727,"(-111.22001353717309, 47.52146279553654)","(-111.2196939069449, 47.52146279553654)","(-111.2196939069449, 47.52126365417934)","(-111.22001353717309, 47.52126365417934)",20190727,Cascade,30
external_floating_roof_tank,m_4711131_sw_12_060_20190727,"(-111.21941604541584, 47.52152332827384)","(-111.21900841107585, 47.52152332827384)","(-111.21900841107585, 47.52124337185144)","(-111.21941604541584, 47.52124337185144)",20190727,Cascade,30
external_floating_roof_tank,m_4711131_sw_12_060_20190727,"(-111.22051557063253, 47.521445633751256)","(-111.22022790849742, 47.521445633751256)","(-111.22022790849742, 47.52126802745311)","(-111.22051557063253, 47.52126802745311)",20190727,Cascade,30
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.27616953671657, 32.36028287806953)","(-95.27531742911435, 32.36028287806953)","(-95.27531742911435, 32.35960565965782)","(-95.27616953671657, 32.35960565965782)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.28012541692912, 32.36549246399105)","(-95.2798267102977, 32.36549246399105)","(-95.2798267102977, 32.36527601858594)","(-95.28012541692912, 32.36527601858594)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.26916289668807, 32.365879675572145)","(-95.26872836064996, 32.365879675572145)","(-95.26872836064996, 32.36558448399078)","(-95.26916289668807, 32.36558448399078)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.27093791099323, 32.32492456457375)","(-95.27071728707665, 32.32492456457375)","(-95.27071728707665, 32.32476620710148)","(-95.27093791099323, 32.32476620710148)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.2788581045778, 32.361484231367335)","(-95.278441320809, 32.361484231367335)","(-95.278441320809, 32.361134643078074)","(-95.2788581045778, 32.361134643078074)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.26978166710899, 32.36665853394784)","(-95.26943769481417, 32.36665853394784)","(-95.26943769481417, 32.366415823688484)","(-95.26978166710899, 32.366415823688484)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.27133104410113, 32.366663089625725)","(-95.27097432255073, 32.366663089625725)","(-95.27097432255073, 32.36642061341856)","(-95.27133104410113, 32.36642061341856)",20181120,Smith,48
external_floating_roof_tank,m_3209546_ne_15_060_20181120,"(-95.27025966790781, 32.36588698103298)","(-95.26982526371718, 32.36588698103298)","(-95.26982526371718, 32.36559720191725)","(-95.27025966790781, 32.36559720191725)",20181120,Smith,48
external_floating_roof_tank,m_3208164_ne_17_060_20190829,"(-81.03861399275246, 32.07139052776378)","(-81.03802256194147, 32.07139052776378)","(-81.03802256194147, 32.070898120594904)","(-81.03861399275246, 32.070898120594904)",20190829,Chatham,13
external_floating_roof_tank,m_4408927_nw_16_060_20180910,"(-89.71532612207703, 44.59243239454256)","(-89.71457006342382, 44.59243239454256)","(-89.71457006342382, 44.591942643553324)","(-89.71532612207703, 44.591942643553324)",20180910,Portage,55
external_floating_roof_tank,m_4408927_nw_16_060_20180910,"(-89.71626592449745, 44.59313382556321)","(-89.71573636775304, 44.59313382556321)","(-89.71573636775304, 44.592800734932865)","(-89.71626592449745, 44.592800734932865)",20180910,Portage,55
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54627859953615, 39.11421833317799)","(-84.54585976089794, 39.11421833317799)","(-84.54585976089794, 39.11389057598218)","(-84.54627859953615, 39.11389057598218)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.5467727774302, 39.114174683260984)","(-84.54636068305214, 39.114174683260984)","(-84.54636068305214, 39.11385247554051)","(-84.5467727774302, 39.11385247554051)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54682375124666, 39.11450550321585)","(-84.54640528319226, 39.11450550321585)","(-84.54640528319226, 39.114166944392565)","(-84.54682375124666, 39.114166944392565)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.5463224497287, 39.114554408976105)","(-84.5459107302862, 39.114554408976105)","(-84.5459107302862, 39.11422139621037)","(-84.5463224497287, 39.11422139621037)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54196248449772, 39.1257982011369)","(-84.54182697857371, 39.1257982011369)","(-84.54182697857371, 39.125703445511355)","(-84.54196248449772, 39.125703445511355)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54196642911639, 39.1256847653045)","(-84.54183111124448, 39.1256847653045)","(-84.54183111124448, 39.12558460798265)","(-84.54196642911639, 39.12558460798265)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54199811350007, 39.12557191477071)","(-84.54180863124239, 39.12557191477071)","(-84.54180863124239, 39.12543277487687)","(-84.54199811350007, 39.12543277487687)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54670831116098, 39.1138327677931)","(-84.5463029653609, 39.1138327677931)","(-84.5463029653609, 39.11351610766596)","(-84.54670831116098, 39.11351610766596)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54622762841953, 39.11388751305651)","(-84.54581553823238, 39.11388751305651)","(-84.54581553823238, 39.113565303523416)","(-84.54622762841953, 39.113565303523416)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54667120578362, 39.11350223980492)","(-84.54626604940036, 39.11350223980492)","(-84.54626604940036, 39.11318017786198)","(-84.54667120578362, 39.11318017786198)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54617647026352, 39.11356209464519)","(-84.54575782331148, 39.11356209464519)","(-84.54575782331148, 39.11322893545266)","(-84.54617647026352, 39.11322893545266)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.5466127372043, 39.113187478974936)","(-84.54620795768444, 39.113187478974936)","(-84.54620795768444, 39.112854613407286)","(-84.5466127372043, 39.112854613407286)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54612568737639, 39.113225872740394)","(-84.54570648017808, 39.113225872740394)","(-84.54570648017808, 39.11290891861787)","(-84.54612568737639, 39.11290891861787)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54607453001042, 39.112900454280506)","(-84.54566975469497, 39.112900454280506)","(-84.54566975469497, 39.112567586958775)","(-84.54607453001042, 39.112567586958775)",20190829,Hamilton,39
external_floating_roof_tank,m_3908460_ne_16_060_20190829,"(-84.54658237877963, 39.11286249869748)","(-84.54616392123725, 39.11286249869748)","(-84.54616392123725, 39.112523939262616)","(-84.54658237877963, 39.112523939262616)",20190829,Hamilton,39
external_floating_roof_tank,m_3909417_ne_15_060_20180923,"(-94.87737847977097, 39.71921540055214)","(-94.87704754648445, 39.71921540055214)","(-94.87704754648445, 39.718885605292165)","(-94.87737847977097, 39.718885605292165)",20180923,Buchanan,29
external_floating_roof_tank,m_3909417_ne_15_060_20180923,"(-94.87703824081959, 39.719058735411416)","(-94.87689537642025, 39.719058735411416)","(-94.87689537642025, 39.71895293363151)","(-94.87703824081959, 39.71895293363151)",20180923,Buchanan,29
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88796608924179, 34.87707332585476)","(-116.88778247079162, 34.87707332585476)","(-116.88778247079162, 34.8769162499171)","(-116.88796608924179, 34.8769162499171)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88772316924559, 34.87707310145755)","(-116.88754610929475, 34.87707310145755)","(-116.88754610929475, 34.87692144179228)","(-116.88772316924559, 34.87692144179228)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88648422365266, 34.87567602370604)","(-116.88633994332932, 34.87567602370604)","(-116.88633994332932, 34.8755622668527)","(-116.88648422365266, 34.8755622668527)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.8861098603399, 34.8757784738681)","(-116.8859131326448, 34.8757784738681)","(-116.8859131326448, 34.8756105616481)","(-116.8861098603399, 34.8756105616481)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88612264080791, 34.876032782421866)","(-116.88591279679194, 34.876032782421866)","(-116.88591279679194, 34.87585403677496)","(-116.88612264080791, 34.87585403677496)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88570283404944, 34.875761859695544)","(-116.88553231595375, 34.875761859695544)","(-116.88553231595375, 34.87563184548744)","(-116.88570283404944, 34.87563184548744)",20180818,San Bernardino,06
external_floating_roof_tank,m_3411601_se_11_060_20180818,"(-116.88569592477738, 34.87601073919248)","(-116.88553853680013, 34.87601073919248)","(-116.88553853680013, 34.87588073735845)","(-116.88569592477738, 34.87588073735845)",20180818,San Bernardino,06
external_floating_roof_tank,m_3908139_sw_17_060_20180707,"(-81.20420465508283, 39.38362178363295)","(-81.20391145185626, 39.38362178363295)","(-81.20391145185626, 39.38341685271412)","(-81.20420465508283, 39.38341685271412)",20180707,Pleasants,54
external_floating_roof_tank,m_3908139_sw_17_060_20180707,"(-81.20453860364839, 39.383464410175584)","(-81.20416859248814, 39.383464410175584)","(-81.20416859248814, 39.38320014393562)","(-81.20453860364839, 39.38320014393562)",20180707,Pleasants,54
external_floating_roof_tank,m_3908139_sw_17_060_20180707,"(-81.20487240846028, 39.383258377974144)","(-81.20450239713706, 39.383258377974144)","(-81.20450239713706, 39.38299411278668)","(-81.20487240846028, 39.38299411278668)",20180707,Pleasants,54
external_floating_roof_tank,m_3908137_sw_17_060_20190812,"(-81.47558500992085, 39.403422099223846)","(-81.47530501951465, 39.403422099223846)","(-81.47530501951465, 39.40323942581116)","(-81.47558500992085, 39.40323942581116)",20190812,Washington,39
